evt,LepGood1_charge,LepGood2_charge,LepGood1_convVeto,LepGood2_convVeto,LepGood1_lostHits,LepGood2_lostHits,LepGood1_mvaTTH,LepGood2_mvaTTH,LepGood1_pdgId,LepGood2_pdgId,LepGood1_pt,LepGood2_pt,LepGood1_tightCharge,LepGood2_tightCharge,met_pt,mhtJet25,minMllAFAS,nBJetLoose25,nBJetMedium25,nJet25,nLepGood10
59544,1,-1,1,1,0,0,0.982588589191,0.925002217293,-13,13,40.4107627869,24.3877086639,2,2,85.2931594849,70.0394515991,65.6827163696,2,1,5,2
59589,-1,1,1,1,0,0,0.960175812244,0.972078025341,13,-13,37.4634857178,19.6384105682,2,2,15.7964468002,36.0096702576,32.3633880615,1,1,5,2
59599,1,-1,1,1,0,0,0.987934112549,0.949186861515,-13,13,244.86289978,24.9009418488,2,2,34.0954818726,45.2693748474,71.5515823364,2,2,3,2
23327,-1,-1,1,1,0,0,0.826095700264,0.947455227375,13,13,60.0669136047,18.750459671,2,2,117.102455139,150.032104492,65.4051208496,1,1,2,2
23333,-1,1,1,1,0,0,0.920808315277,0.699767112732,13,-13,43.52293396,21.5355148315,2,2,96.1987915039,96.4966964722,37.8012809753,2,2,3,2
23362,-1,-1,1,1,0,0,0.95878213644,0.962982535362,13,13,44.3094940186,29.5592079163,2,2,24.0598621368,56.1149559021,71.442527771,3,3,3,2
23398,-1,1,1,1,0,0,0.987879574299,0.976782977581,13,-13,42.1199073792,31.6335830688,2,2,214.079193115,252.311203003,44.3793907166,3,2,6,2
42521,1,-1,1,1,0,0,0.839155375957,0.626802384853,-13,13,14.9496994019,13.9154729843,2,2,67.1356582642,95.318939209,11.3652391434,4,3,6,2
42527,-1,1,1,1,0,0,0.949343681335,0.977767825127,13,-13,62.5949478149,37.0728034973,2,2,202.00151062,255.370697021,73.4996643066,0,0,5,2
42559,-1,1,1,1,0,0,0.779152691364,-0.386733114719,13,-13,16.8135757446,13.121884346,2,2,78.0076446533,16.6199588776,31.82538414,1,1,2,2
42582,-1,-1,1,1,0,0,-0.157778307796,-0.511740624905,13,13,40.3900756836,25.3121128082,2,2,64.5959320068,47.0023269653,1.68105530739,2,2,3,2
42591,1,-1,1,1,0,0,0.987352907658,0.975853681564,-13,13,96.9055709839,74.5270080566,2,2,239.061172485,220.774337769,174.655303955,3,3,9,2
42594,1,-1,1,1,0,0,0.983681619167,0.947028934956,-13,13,52.7486381531,39.9838142395,2,2,104.979217529,89.0261230469,48.9110565186,1,0,4,3
58312,-1,1,1,1,0,0,0.938579380512,0.618682444096,13,-13,120.345527649,6.45291996002,2,2,89.426322937,118.697425842,50.4087257385,4,2,6,1
58314,-1,-1,1,1,0,0,0.985770881176,0.912298798561,13,13,120.136863708,17.6406764984,2,2,299.73324585,168.670776367,21.7266960144,2,1,4,2
58336,-1,1,1,1,0,0,0.975713431835,0.942383885384,13,-13,66.4688491821,37.8431930542,2,2,76.8441848755,14.869263649,89.964012146,0,0,1,2
